label, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y
12, 0.406578, 0.39574, 0.561343, 0.716146, 0.127113, 0.164345, 0.545199, 0.510517, 0.561552, 0.0627256, 0.561068, 0.817862, 0.225954, 0.471368, 0.74279, 0.674219, 0.0980612, 0.420876, 0.369504, 0.528041, 0.625287, 0.68364, 0.851814, 0.665478, 
12, 0.406811, 0.347044, 0.477846, 0.681905, 0.0949613, 0.154068, 0.567182, 0.446282, 0.494172, 0.071332, 0.458688, 0.780269, 0.173143, 0.449175, 0.67692, 0.593937, 0.0603378, 0.397341, 0.297715, 0.506416, 0.561042, 0.63068, 0.837983, 0.542867, 
12, 0.419965, 0.356119, 0.512327, 0.69354, 0.131318, 0.161367, 0.581079, 0.464823, 0.496661, 0.0668253, 0.533455, 0.812435, 0.204221, 0.439493, 0.703815, 0.626253, 0.0781917, 0.395629, 0.334349, 0.484783, 0.594885, 0.654371, 0.837441, 0.59176, 
12, 0.335231, 0.338869, 0.432595, 0.674393, 0.10625, 0.162702, 0.474605, 0.446096, 0.445618, 0.083829, 0.413613, 0.774797, 0.153605, 0.449809, 0.688968, 0.61491, 0.0622847, 0.438589, 0.256647, 0.462469, 0.551909, 0.616285, 0.829687, 0.613499, 
12, 0.386634, 0.36542, 0.51615, 0.717021, 0.150907, 0.146285, 0.55239, 0.519509, 0.543488, 0.0724037, 0.478064, 0.812394, 0.215158, 0.473013, 0.715082, 0.679188, 0.0872286, 0.428406, 0.347331, 0.519099, 0.600422, 0.722931, 0.828905, 0.635764, 
12, 0.33532, 0.343622, 0.481728, 0.731671, 0.163068, 0.163491, 0.489253, 0.504596, 0.512336, 0.0667167, 0.446865, 0.818248, 0.169897, 0.492055, 0.67807, 0.684632, 0.0637303, 0.452534, 0.279835, 0.53298, 0.539394, 0.695132, 0.846725, 0.671862, 
12, 0.373443, 0.373425, 0.441947, 0.732141, 0.115315, 0.166821, 0.53311, 0.501222, 0.500594, 0.0761748, 0.376093, 0.833151, 0.150423, 0.486402, 0.643663, 0.636267, 0.0421631, 0.44428, 0.251607, 0.525771, 0.497157, 0.65738, 0.80913, 0.61242, 
12, 0.403484, 0.311271, 0.481612, 0.633257, 0.138801, 0.136176, 0.537446, 0.39989, 0.477308, 0.0736836, 0.487248, 0.744601, 0.197575, 0.40205, 0.693923, 0.550082, 0.0845456, 0.388081, 0.317754, 0.416901, 0.568477, 0.573031, 0.831586, 0.524899, 
12, 0.426975, 0.322568, 0.468728, 0.67024, 0.182043, 0.138315, 0.566888, 0.42782, 0.500732, 0.0636162, 0.431086, 0.76441, 0.197349, 0.461786, 0.690379, 0.589021, 0.0792918, 0.408579, 0.30053, 0.508289, 0.568974, 0.633359, 0.826009, 0.539489, 
12, 0.377989, 0.337726, 0.49585, 0.669741, 0.13344, 0.15758, 0.536259, 0.454316, 0.507177, 0.0719803, 0.481059, 0.773663, 0.184752, 0.433211, 0.69117, 0.600689, 0.0751997, 0.373334, 0.293495, 0.492645, 0.545708, 0.608065, 0.835321, 0.593379, 
